scenario	context	arm	recorded_optimum	recomputed	relative
half_serum	CO:HCC-2998	magnitude_g1.25	404.7390213244886	404.7390218292274	1.2470722628686467e-09
half_serum	CO:HCC-2998	magnitude_g2.00	423.47881126762206	423.4788117911007	1.2361389693627204e-09
half_serum	CO:HCC-2998	magnitude_g0.80	391.1613829469233	391.1613834380849	1.2556494773817093e-09
half_serum	CO:COLO 205	magnitude_g2.00	428.91119876202833	428.9111992909395	1.233148466103097e-09
half_serum	CO:COLO 205	magnitude_g1.25	410.86171112046566	410.8617116313274	1.2433909976843677e-09
half_serum	CO:COLO 205	magnitude_g0.50	387.29123264852547	387.2912331358166	1.2582033276265897e-09
half_serum	CO:COLO 205	magnitude_g1.00	403.48161117583976	403.48161167932136	1.2478427451307233e-09
half_serum	CO:COLO 205	ordinal	236.94073874590063	236.9407390828414	1.4220465410236724e-09
half_serum	CO:COLO 205	magnitude_g0.80	397.18911601502765	397.18911651221674	1.2517691739975655e-09
primary	RE:RXF 393	magnitude_g2.00	1035.2072925544578	1035.2072936896666	1.0966004441080401e-09
primary	RE:RXF 393	ordinal	743.679841975929	743.6798428196078	1.134465033201646e-09
primary	RE:RXF 393	magnitude_g1.25	1009.1436849648783	1009.1436860740223	1.099094251268037e-09
primary	RE:RXF 393	magnitude_g1.00	999.3932552442276	999.39325634362	1.1000598762168617e-09
primary	RE:RXF 393	magnitude_g0.50	978.7033149096345	978.7033159883367	1.1021748834048445e-09
primary	RE:RXF 393	magnitude_g0.80	991.2734947963546	991.273495887629	1.100881230420605e-09
primary	LC:A549/ATCC	magnitude_g2.00	1039.566766462791	1039.5667676023581	1.0961942148722818e-09
primary	LC:A549/ATCC	magnitude_g1.25	1014.6797758617453	1014.6797769764248	1.0985530363184492e-09
primary	LC:A549/ATCC	magnitude_g1.00	1005.4810573254142	1005.4810584308934	1.099453048760688e-09
primary	LC:A549/ATCC	magnitude_g0.50	985.9021713447692	985.902172430671	1.1014296522578553e-09
primary	LC:A549/ATCC	ordinal	782.3083021468731	782.3083030291817	1.1278272928465906e-09
primary	LC:A549/ATCC	magnitude_g0.80	997.8323913201122	997.8323924179443	1.1002170224626903e-09
lower_task	RE:A498	magnitude_g1.25	442.5444194894525	442.5444200319972	1.225966741207587e-09
lower_task	RE:A498	magnitude_g0.80	430.7232751985488	430.72327573029645	1.2345459464754314e-09
lower_task	RE:A498	magnitude_g0.50	422.09271122644213	422.0927117485354	1.2369161078044364e-09
lower_task	RE:A498	magnitude_g2.00	459.8912763982818	459.8912769581731	1.2174427600784533e-09
