arm	exchange_id	profiles	location_spread	mean_width	max_width	constant_across_profiles	all_fixed_within_profile
magnitude_g0.50	EX_ile__L_e	47	7.848458083437038e-08	4.9087877077556825e-08	1.5856123591895255e-07	True	True
magnitude_g0.50	EX_imp_e	47	4.5413157907698195e-10	2.6807241052606936e-10	9.154812218529591e-10	True	True
magnitude_g0.50	EX_ins_e	47	4.517073623970858e-10	2.6896540041752736e-10	9.106521598381647e-10	True	True
magnitude_g0.50	EX_lac__L_e	47	3.2282306233881606	9.186058220283475e-07	4.994161622917659e-06	False	True
magnitude_g0.50	EX_lcts_e	47	7.504690718238093e-10	5.609966073237473e-10	1.5268149606749453e-09	True	True
magnitude_g0.50	EX_leu__L_e	47	8.110258087334898e-08	4.552209649894828e-08	1.6370389976927413e-07	True	True
magnitude_g0.50	EX_lys__L_e	47	0.5804866175967578	0.012370318787457573	0.5804869193596742	False	False
magnitude_g0.50	EX_mal__L_e	47	1.0029265490288089e-07	4.823807895682754e-08	2.0164014147540823e-07	True	True
magnitude_g0.50	EX_met__L_e	47	6.526079564662012	1.1357202253470728e-06	1.0103170867914457e-05	False	False
magnitude_g0.50	EX_nac_e	47	9.757525034097953e-09	5.969355973434875e-09	1.9673738645182055e-08	True	True
magnitude_g0.50	EX_ncam_e	47	6.05172201696599e-08	3.833267753264582e-08	1.2207387512873544e-07	True	True
magnitude_g0.50	EX_nicrnt_e	47	1.127421194071077e-09	6.709520138075309e-10	2.2732786914958734e-09	True	True
magnitude_g0.50	EX_orn_e	47	3.950468929382367e-08	2.2614148260363493e-08	7.938187998993041e-08	True	True
magnitude_g0.50	EX_orot5p_e	47	6.798204514110734e-10	4.088951307146411e-10	1.3711420214729007e-09	True	True
magnitude_g0.50	EX_orot_e	47	1.5520747561531675e-09	9.31668866007916e-10	3.1303145624947595e-09	True	True
magnitude_g0.50	EX_oxa_e	47	3.5987166568675813e-09	2.1881909168498845e-09	7.2611884089300294e-09	True	True
magnitude_g0.50	EX_pep_e	47	4.095794719668739e-09	2.411452735358572e-09	8.256107162353661e-09	True	True
magnitude_g0.50	EX_phe__L_e	47	2.447340522667242	9.038358539381619e-08	3.7966167676373175e-07	False	True
magnitude_g0.50	EX_pnto__R_e	47	5.257342587493785e-08	2.7712884422435412e-08	1.0750917367127737e-07	True	True
magnitude_g0.50	EX_pro__L_e	47	9.562453961997619e-08	8.361668185275895e-08	2.654661908074729e-07	True	True
