panel	arm	metabolite_id	eligible_pairs	point_C	interval_C
primary	magnitude_g1.25	core_070	909	0.46864686468646866	0.4691969196919692
primary	magnitude_g1.25	core_072	847	0.5	0.5
primary	magnitude_g1.25	core_073	924	0.5	0.5
primary	magnitude_g1.25	core_074	849	0.5	0.5
primary	magnitude_g1.25	core_075	1025	0.45414634146341465	0.45414634146341465
primary	magnitude_g1.25	core_076	885	0.5	0.5
primary	magnitude_g1.25	core_077	642	0.5	0.5
primary	magnitude_g1.25	core_078	911	0.5	0.5
primary	magnitude_g1.25	core_080	870	0.5	0.5
primary	magnitude_g1.25	core_081	988	0.5	0.5
primary	magnitude_g1.25	core_085	863	0.5	0.5
primary	magnitude_g1.25	core_088	713	0.5	0.5
primary	magnitude_g1.25	core_091	779	0.5	0.5
primary	magnitude_g1.25	core_092	1024	0.5	0.5
primary	magnitude_g1.25	core_094	935	0.5	0.5
primary	magnitude_g1.25	core_095	913	0.5	0.5
primary	magnitude_g1.25	core_096	920	0.47554347826086957	0.475
primary	magnitude_g1.25	core_098	880	0.5	0.5
primary	magnitude_g1.25	core_099	500	0.5	0.5
primary	magnitude_g1.25	core_102	876	0.5	0.5
primary	magnitude_g1.25	core_103	912	0.5	0.5
primary	magnitude_g1.25	core_104	888	0.5	0.5
primary	magnitude_g1.25	core_110	958	0.5	0.5
primary	magnitude_g1.25	core_111	1004	0.5	0.5
primary	magnitude_g1.25	core_112	731	0.5	0.5
primary	magnitude_g1.25	core_113	977	0.5	0.5
primary	magnitude_g1.25	core_114	869	0.5	0.5
primary	magnitude_g1.25	core_115	915	0.5	0.5
primary	magnitude_g2.00	core_006	952	0.5	0.5
primary	magnitude_g2.00	core_016	1000	0.5	0.5
primary	magnitude_g2.00	core_018	1023	0.5	0.5
primary	magnitude_g2.00	core_024	923	0.5	0.5
primary	magnitude_g2.00	core_026	957	0.5	0.5
primary	magnitude_g2.00	core_027	971	0.5	0.5
primary	magnitude_g2.00	core_028	960	0.4583333333333333	0.4583333333333333
primary	magnitude_g2.00	core_030	957	0.5	0.5
primary	magnitude_g2.00	core_032	950	0.5	0.5
primary	magnitude_g2.00	core_035	920	0.5	0.5
primary	magnitude_g2.00	core_039	984	0.5	0.5
primary	magnitude_g2.00	core_041	939	0.5	0.5
primary	magnitude_g2.00	core_044	918	0.5277777777777778	0.5332244008714597
primary	magnitude_g2.00	core_049	748	0.5	0.5
primary	magnitude_g2.00	core_050	1027	0.6051606621226875	0.6061343719571568
primary	magnitude_g2.00	core_051	919	0.6044613710554951	0.6050054406964092
primary	magnitude_g2.00	core_052	818	0.508557457212714	0.508557457212714
primary	magnitude_g2.00	core_053	898	0.5	0.5
primary	magnitude_g2.00	core_056	797	0.5	0.5
primary	magnitude_g2.00	core_062	940	0.5	0.5
primary	magnitude_g2.00	core_063	1026	0.5	0.5
primary	magnitude_g2.00	core_064	691	0.5	0.5
primary	magnitude_g2.00	core_067	869	0.5	0.5
primary	magnitude_g2.00	core_069	753	0.5	0.5
primary	magnitude_g2.00	core_070	909	0.40374037403740376	0.4042904290429043
primary	magnitude_g2.00	core_072	847	0.5	0.5
primary	magnitude_g2.00	core_073	924	0.5	0.5
primary	magnitude_g2.00	core_074	849	0.5	0.5
primary	magnitude_g2.00	core_075	1025	0.4678048780487805	0.4678048780487805
primary	magnitude_g2.00	core_076	885	0.5	0.5
primary	magnitude_g2.00	core_077	642	0.5	0.5
primary	magnitude_g2.00	core_078	911	0.5	0.5
primary	magnitude_g2.00	core_080	870	0.5	0.5
primary	magnitude_g2.00	core_081	988	0.5	0.5
primary	magnitude_g2.00	core_085	863	0.5	0.5
primary	magnitude_g2.00	core_088	713	0.5	0.5
primary	magnitude_g2.00	core_091	779	0.5	0.5
primary	magnitude_g2.00	core_092	1024	0.5	0.5
primary	magnitude_g2.00	core_094	935	0.5	0.5
primary	magnitude_g2.00	core_095	913	0.5	0.5
primary	magnitude_g2.00	core_096	920	0.49130434782608695	0.49184782608695654
primary	magnitude_g2.00	core_098	880	0.5	0.5
primary	magnitude_g2.00	core_099	500	0.5	0.5
primary	magnitude_g2.00	core_102	876	0.5	0.5
primary	magnitude_g2.00	core_103	912	0.5	0.5
primary	magnitude_g2.00	core_104	888	0.5	0.5
primary	magnitude_g2.00	core_110	958	0.5	0.5
primary	magnitude_g2.00	core_111	1004	0.5	0.5
primary	magnitude_g2.00	core_112	731	0.5	0.5
primary	magnitude_g2.00	core_113	977	0.5	0.5
primary	magnitude_g2.00	core_114	869	0.5	0.5
primary	magnitude_g2.00	core_115	915	0.5	0.5
primary	ordinal	core_006	952	0.5	0.5
primary	ordinal	core_016	1000	0.469	0.469
primary	ordinal	core_018	1023	0.5	0.5
primary	ordinal	core_024	923	0.5	0.5
primary	ordinal	core_026	957	0.5177638453500523	0.5177638453500523
primary	ordinal	core_027	971	0.5	0.5
primary	ordinal	core_028	960	0.41041666666666665	0.41041666666666665
primary	ordinal	core_030	957	0.5	0.5
primary	ordinal	core_032	950	0.5	0.5
primary	ordinal	core_035	920	0.5	0.5
primary	ordinal	core_039	984	0.5	0.5
primary	ordinal	core_041	939	0.5	0.5
primary	ordinal	core_044	918	0.5	0.5
primary	ordinal	core_049	748	0.5	0.5
primary	ordinal	core_050	1027	0.5189873417721519	0.5189873417721519
primary	ordinal	core_051	919	0.5685527747551686	0.5685527747551686
primary	ordinal	core_052	818	0.5904645476772616	0.5904645476772616
primary	ordinal	core_053	898	0.5	0.5
primary	ordinal	core_056	797	0.5	0.5
primary	ordinal	core_062	940	0.5	0.5
primary	ordinal	core_063	1026	0.5	0.5
primary	ordinal	core_064	691	0.5	0.5
primary	ordinal	core_067	869	0.5	0.5
primary	ordinal	core_069	753	0.5	0.5
primary	ordinal	core_070	909	0.5016501650165016	0.5016501650165016
primary	ordinal	core_072	847	0.5	0.5
primary	ordinal	core_073	924	0.5	0.5
primary	ordinal	core_074	849	0.5	0.5
primary	ordinal	core_075	1025	0.5	0.5
primary	ordinal	core_076	885	0.5	0.5
primary	ordinal	core_077	642	0.5	0.5
primary	ordinal	core_078	911	0.5	0.5
primary	ordinal	core_080	870	0.5	0.5
primary	ordinal	core_081	988	0.5	0.5
primary	ordinal	core_085	863	0.5301274623406721	0.5301274623406721
primary	ordinal	core_088	713	0.5	0.5
primary	ordinal	core_091	779	0.5	0.5
primary	ordinal	core_092	1024	0.5	0.5
primary	ordinal	core_094	935	0.5	0.5
primary	ordinal	core_095	913	0.5	0.5
primary	ordinal	core_096	920	0.5391304347826087	0.5391304347826087
primary	ordinal	core_098	880	0.5	0.5
primary	ordinal	core_099	500	0.5	0.5
primary	ordinal	core_102	876	0.5	0.5
primary	ordinal	core_103	912	0.5	0.5
primary	ordinal	core_104	888	0.5	0.5
primary	ordinal	core_110	958	0.5	0.5
primary	ordinal	core_111	1004	0.5	0.5
primary	ordinal	core_112	731	0.5	0.5
primary	ordinal	core_113	977	0.5	0.5
primary	ordinal	core_114	869	0.5	0.5
primary	ordinal	core_115	915	0.5	0.5
primary	uniform_pfba	core_006	952	0.5	0.5
primary	uniform_pfba	core_016	1000	0.5	0.5
primary	uniform_pfba	core_018	1023	0.5	0.5
primary	uniform_pfba	core_024	923	0.5	0.5
primary	uniform_pfba	core_026	957	0.5	0.5
primary	uniform_pfba	core_027	971	0.5	0.5
primary	uniform_pfba	core_028	960	0.5	0.5
primary	uniform_pfba	core_030	957	0.5	0.5
primary	uniform_pfba	core_032	950	0.5	0.5
primary	uniform_pfba	core_035	920	0.5	0.5
primary	uniform_pfba	core_039	984	0.5	0.5
primary	uniform_pfba	core_041	939	0.5	0.5
primary	uniform_pfba	core_044	918	0.5	0.5
primary	uniform_pfba	core_049	748	0.5	0.5
primary	uniform_pfba	core_050	1027	0.5	0.5
primary	uniform_pfba	core_051	919	0.5	0.5
primary	uniform_pfba	core_052	818	0.5	0.5
primary	uniform_pfba	core_053	898	0.5	0.5
primary	uniform_pfba	core_056	797	0.5	0.5
primary	uniform_pfba	core_062	940	0.5	0.5
primary	uniform_pfba	core_063	1026	0.5	0.5
primary	uniform_pfba	core_064	691	0.5	0.5
primary	uniform_pfba	core_067	869	0.5	0.5
primary	uniform_pfba	core_069	753	0.5	0.5
primary	uniform_pfba	core_070	909	0.5	0.5
primary	uniform_pfba	core_072	847	0.5	0.5
