panel	arm	metabolite_id	eligible_pairs	point_C	interval_C
primary	magnitude_g1.25	core_053	898	0.5	0.5
primary	magnitude_g1.25	core_056	797	0.5	0.5
primary	magnitude_g1.25	core_062	940	0.5	0.5
primary	magnitude_g1.25	core_063	1026	0.5	0.5
primary	magnitude_g1.25	core_064	691	0.5	0.5
primary	magnitude_g1.25	core_067	869	0.5	0.5
primary	magnitude_g1.25	core_069	753	0.5	0.5
primary	magnitude_g1.25	core_070	909	0.47744774477447743	0.47799779977997797
primary	magnitude_g1.25	core_072	847	0.5	0.5
primary	magnitude_g1.25	core_073	924	0.5	0.5
primary	magnitude_g1.25	core_074	849	0.5	0.5
primary	magnitude_g1.25	core_075	1025	0.5	0.5
primary	magnitude_g1.25	core_076	885	0.5418079096045197	0.5412429378531074
primary	magnitude_g1.25	core_077	642	0.5	0.5
primary	magnitude_g1.25	core_078	911	0.5	0.5
primary	magnitude_g1.25	core_080	870	0.5	0.5
primary	magnitude_g1.25	core_081	988	0.5	0.5
primary	magnitude_g1.25	core_085	863	0.5	0.5
primary	magnitude_g1.25	core_088	713	0.5	0.5
primary	magnitude_g1.25	core_091	779	0.5	0.5
primary	magnitude_g1.25	core_092	1024	0.5	0.5
primary	magnitude_g1.25	core_094	935	0.5	0.5
primary	magnitude_g1.25	core_095	913	0.5	0.5
primary	magnitude_g1.25	core_096	920	0.5396739130434782	0.5396739130434782
primary	magnitude_g1.25	core_098	880	0.5	0.5
primary	magnitude_g1.25	core_099	500	0.5	0.5
primary	magnitude_g1.25	core_102	876	0.5	0.5
primary	magnitude_g1.25	core_103	912	0.5	0.5
primary	magnitude_g1.25	core_104	888	0.5	0.5
primary	magnitude_g1.25	core_110	958	0.5	0.5
primary	magnitude_g1.25	core_111	1004	0.5	0.5
primary	magnitude_g1.25	core_112	731	0.5	0.5
primary	magnitude_g1.25	core_113	977	0.5	0.5
primary	magnitude_g1.25	core_114	869	0.5	0.5
primary	magnitude_g1.25	core_115	915	0.5	0.5
primary	magnitude_g2.00	core_006	952	0.5	0.5
primary	magnitude_g2.00	core_016	1000	0.4995	0.4985
primary	magnitude_g2.00	core_018	1023	0.5	0.5
primary	magnitude_g2.00	core_024	923	0.5	0.5
primary	magnitude_g2.00	core_026	957	0.5	0.5
primary	magnitude_g2.00	core_027	971	0.5	0.5
primary	magnitude_g2.00	core_028	960	0.5	0.5
primary	magnitude_g2.00	core_030	957	0.5	0.5
primary	magnitude_g2.00	core_032	950	0.5278947368421053	0.5278947368421053
primary	magnitude_g2.00	core_035	920	0.5	0.5
primary	magnitude_g2.00	core_039	984	0.5	0.5
