variant	core_label	replicate	context_id	origin_group	partition	culture_volume_mL	duration_days	growth_time_series_available	assays_screened	flagged_assay_count	unresolved_assay_count	status	flagged_assays	in_human1_11_line_subset
calibrated_assays	A549/ATCC	2	LC:A549/ATCC	LC:A549/ATCC	test	35	4_or_5_not_resolved_per_culture	False	115	17	3	screen_positive	bilirubin; choline; 2'-deoxycytidine; glutamine; guanidinoacetate; isoleucine; leucine; kynurenine; methionine; niacinamide; phenylalanine; serine; taurine; tryptophan; UDP-glucuronate; valine; XMP	False
all_reported_assays	RXF 393	1	RE:RXF 393	RE:RXF 393	test	35	4_or_5_not_resolved_per_culture	False	140	5	28	screen_positive	2'-deoxyuridine; glutamine; hypoxanthine; niacinamide; UDP-glucuronate	False
calibrated_assays	RXF 393	1	RE:RXF 393	RE:RXF 393	test	35	4_or_5_not_resolved_per_culture	False	115	5	3	screen_positive	2'-deoxyuridine; glutamine; hypoxanthine; niacinamide; UDP-glucuronate	False
all_reported_assays	RXF 393	2	RE:RXF 393	RE:RXF 393	test	35	4_or_5_not_resolved_per_culture	False	140	6	28	screen_positive	2'-deoxyuridine; glutamine; glutathione oxidized; hypoxanthine; niacinamide; UDP-glucuronate	False
calibrated_assays	RXF 393	2	RE:RXF 393	RE:RXF 393	test	35	4_or_5_not_resolved_per_culture	False	115	6	3	screen_positive	2'-deoxyuridine; glutamine; glutathione oxidized; hypoxanthine; niacinamide; UDP-glucuronate	False
all_reported_assays	CAKI-1	1	RE:CAKI-1	RE:CAKI-1	test	35	4_or_5_not_resolved_per_culture	False	140	11	28	screen_positive	anthranilate; choline; glutamine; IMP; niacinamide; serine; taurine; thymine; tryptophan; UDP-glucuronate; uracil	False
calibrated_assays	CAKI-1	1	RE:CAKI-1	RE:CAKI-1	test	35	4_or_5_not_resolved_per_culture	False	115	11	3	screen_positive	anthranilate; choline; glutamine; IMP; niacinamide; serine; taurine; thymine; tryptophan; UDP-glucuronate; uracil	False
all_reported_assays	CAKI-1	2	RE:CAKI-1	RE:CAKI-1	test	35	4_or_5_not_resolved_per_culture	False	140	11	28	screen_positive	anthranilate; choline; glutamine; glutathione oxidized; IMP; niacinamide; serine; thymine; tryptophan; UDP-glucuronate; uracil	False
calibrated_assays	CAKI-1	2	RE:CAKI-1	RE:CAKI-1	test	35	4_or_5_not_resolved_per_culture	False	115	11	3	screen_positive	anthranilate; choline; glutamine; glutathione oxidized; IMP; niacinamide; serine; thymine; tryptophan; UDP-glucuronate; uracil	False
all_reported_assays	MDA-MB-435	1	ME:MDA-MB-435	M14_MDA-MB-435	test	35	4_or_5_not_resolved_per_culture	False	140	9	28	screen_positive	anthranilate; choline; creatine; 2'-deoxycytidine; 2'-deoxyuridine; glutamine; thymidine; UDP-glucuronate; uracil	False
calibrated_assays	MDA-MB-435	1	ME:MDA-MB-435	M14_MDA-MB-435	test	35	4_or_5_not_resolved_per_culture	False	115	9	3	screen_positive	anthranilate; choline; creatine; 2'-deoxycytidine; 2'-deoxyuridine; glutamine; thymidine; UDP-glucuronate; uracil	False
all_reported_assays	MDA-MB-435	2	ME:MDA-MB-435	M14_MDA-MB-435	test	35	4_or_5_not_resolved_per_culture	False	140	11	28	screen_positive	anthranilate; choline; creatine; 2'-deoxycytidine; 2'-deoxyuridine; glutamine; IMP; niacin; thymidine; UDP-glucuronate; uracil	False
calibrated_assays	MDA-MB-435	2	ME:MDA-MB-435	M14_MDA-MB-435	test	35	4_or_5_not_resolved_per_culture	False	115	11	3	screen_positive	anthranilate; choline; creatine; 2'-deoxycytidine; 2'-deoxyuridine; glutamine; IMP; niacin; thymidine; UDP-glucuronate; uracil	False
all_reported_assays	EKVX	1	LC:EKVX	LC:EKVX	test	35	4_or_5_not_resolved_per_culture	False	140	7	28	screen_positive	anthranilate; choline; 2'-deoxyuridine; hypoxanthine; niacinamide; thymidine; UDP-glucuronate	False
calibrated_assays	EKVX	1	LC:EKVX	LC:EKVX	test	35	4_or_5_not_resolved_per_culture	False	115	7	3	screen_positive	anthranilate; choline; 2'-deoxyuridine; hypoxanthine; niacinamide; thymidine; UDP-glucuronate	False
all_reported_assays	EKVX	2	LC:EKVX	LC:EKVX	test	35	4_or_5_not_resolved_per_culture	False	140	9	28	screen_positive	anthranilate; choline; dCMP; 2'-deoxyuridine; glutathione oxidized; hypoxanthine; niacinamide; thymidine; UDP-glucuronate	False
calibrated_assays	EKVX	2	LC:EKVX	LC:EKVX	test	35	4_or_5_not_resolved_per_culture	False	115	9	3	screen_positive	anthranilate; choline; dCMP; 2'-deoxyuridine; glutathione oxidized; hypoxanthine; niacinamide; thymidine; UDP-glucuronate	False
all_reported_assays	NCI-H23	1	LC:NCI-H23	LC:NCI-H23	excluded	35	4_or_5_not_resolved_per_culture	False	140	5	28	screen_positive	choline; 2'-deoxyuridine; niacin; serine; thymidine	False
calibrated_assays	NCI-H23	1	LC:NCI-H23	LC:NCI-H23	excluded	35	4_or_5_not_resolved_per_culture	False	115	5	3	screen_positive	choline; 2'-deoxyuridine; niacin; serine; thymidine	False
all_reported_assays	NCI-H23	2	LC:NCI-H23	LC:NCI-H23	excluded	35	4_or_5_not_resolved_per_culture	False	140	7	28	screen_positive	choline; 2'-deoxyuridine; IMP; nicotinic acid mononucleotide; serine; thymidine; UDP-glucuronate	False
calibrated_assays	NCI-H23	2	LC:NCI-H23	LC:NCI-H23	excluded	35	4_or_5_not_resolved_per_culture	False	115	7	3	screen_positive	choline; 2'-deoxyuridine; IMP; nicotinic acid mononucleotide; serine; thymidine; UDP-glucuronate	False
