context	arm	exchange_id	point_glpk	point_second	abs_diff	width_glpk	width_second	fixed_glpk	fixed_second	rel_diff_primary_optimum
LE:K-562	ordinal	EX_4abut_e	0.0	0.0	0.0	1.3059687059856492e-08	1.3060094692299428e-08	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_L2aadp_e	0.0	0.0	0.0	4.166922676978406e-09	4.165799559459704e-09	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_Lkynr_e	0.0	-0.0	0.0	1.9271575508184446e-09	1.9268746598299913e-09	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_ala__L_e	13.244949215561368	13.244949215561254	1.1368683772161603e-13	3.281818816702753e-07	3.2815621864301647e-07	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_anth_e	0.0	0.0	0.0	1.7113942089322227e-09	1.7113120390790985e-09	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_cala_e	0.0	0.0	0.0	9.922126281215648e-10	9.919992605134098e-10	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_chol_e	-2.2595698547931393	-2.25956985479314	8.881784197001252e-16	3.68938763983806e-08	3.6887723542378126e-08	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_cholp_e	0.0	0.0	0.0	2.702030603469119e-09	2.7012747594312714e-09	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_cit_e	0.0	0.0	0.0	6.939144478262648e-08	6.939008656559054e-08	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_cmp_e	0.0	0.0	0.0	0.0	0.0	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_crn_e	2.3101638676254365e-16	0.0	2.3101638676254365e-16	2.154063509459103e-08	2.153052491848939e-08	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_cytd_e	0.0	0.0	0.0	6.074095631725922e-10	6.073095359937497e-10	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_dhap_e	0.0	0.0	0.0	1.6219562323009472e-09	1.6216414877590068e-09	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_duri_e	0.0	0.0	0.0	6.253399685946012e-10	6.252014739249745e-10	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_fum_e	11.847538732115042	11.84753873211483	2.1316282072803006e-13	2.054919132632449e-07	2.054543575269463e-07	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_glcur_e	0.0	0.0	0.0	2.5897352745790787e-09	1.9699069042644624e-09	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_gln__L_e	-10.0	-10.0	0.0	6.647269223947205e-08	6.645804262461752e-08	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_glu__L_e	-10.0	-10.0	0.0	3.4683768745935595e-08	3.467489584352279e-08	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_gly_e	-10.0	-10.0	0.0	2.7347756947904145e-07	2.734284922922825e-07	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_glyald_e	0.0	0.0	0.0	3.46486461949539e-09	3.4643008461898717e-09	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_glyc3p_e	0.0	0.0	0.0	1.5379250911097082e-09	1.5378345263883375e-09	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_hom__L_e	0.0	-0.0	0.0	0.0	0.0	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_hxan_e	0.0	0.0	0.0	4.924601927760292e-10	4.923980945203965e-10	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_icit_e	0.0	-0.0	0.0	2.5485305742656688e-08	2.5486784238637483e-08	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_ins_e	0.0	0.0	0.0	3.6138118070116624e-10	3.6144487403078074e-10	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_lac__L_e	17.025188900326313	17.025188900326366	5.3290705182007514e-14	5.445913551227477e-07	5.445194375397477e-07	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_leu__L_e	-1.7922337326704474	-1.7922337326704487	1.3322676295501878e-15	1.2547844163712796e-07	1.254616179835466e-07	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_lys__L_e	-1.9452265708841625	-1.9452265708841634	8.881784197001252e-16	2.8623261827398494e-07	2.862379773205248e-07	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_mal__L_e	0.0	-0.0	0.0	4.268527362388621e-08	4.267960918014069e-08	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_met__L_e	-0.5026982632120718	-0.5026982632120721	3.3306690738754696e-16	1.2547119188077716e-07	1.2546094296794763e-07	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_nac_e	-2.4969925124507766e-15	-0.0	2.4969925124507766e-15	8.022682451659992e-09	8.023299118726166e-09	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_ncam_e	0.0	0.0	0.0	4.495117359958041e-08	4.493788689311865e-08	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_orn_e	0.0	0.0	0.0	2.16134617030692e-08	2.161428902525131e-08	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_orot_e	0.0	0.0	0.0	1.319732576445553e-09	1.3198562243132983e-09	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_phe__L_e	-10.0	-10.0	0.0	5.1976511983298224e-08	5.1962441460773334e-08	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_pro__L_e	-7.414954180563461	-7.414954243293609	6.273014818702904e-08	3.547543290238764e-07	3.5472001247427443e-07	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_sbt__D_e	0.0	0.0	0.0	0.0	0.0	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_ser__L_e	-10.0	-10.0	0.0	4.079550919300345e-09	4.079495852238324e-09	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_sprm_e	0.0	0.0	0.0	2.68926007227438e-10	2.498212350079829e-10	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_srtn_e	0.0	0.0	0.0	1.9834847041967258e-09	1.9832402387010006e-09	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_succ_e	13.041643839132579	13.041643839132304	2.753353101070388e-13	1.2004861638104103e-07	1.2002411509115518e-07	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_taur_e	0.0	0.0	0.0	1.6260193909925989e-09	1.6258191459783689e-09	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_tchola_e	0.0	0.0	0.0	3.518615857028009e-10	3.4720611571022647e-10	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_thr__L_e	-1.0272564007096077	-1.0272564007096083	6.661338147750939e-16	1.416276607102418e-07	1.416394102005114e-07	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_thym_e	0.0	0.0	0.0	7.637049400442314e-10	7.635631070526504e-10	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_thymd_e	0.0	0.0	0.0	5.106313332430198e-10	5.105943168270954e-10	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_ump_e	0.0	0.0	0.0	4.021002660424355e-10	4.0209319207562544e-10	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_ura_e	0.0	0.0	0.0	1.1037492043395398e-09	1.1034317903835245e-09	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_urate_e	0.0	-0.0	0.0	4.694577497366424e-10	4.673211022232408e-10	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_uri_e	0.0	0.0	0.0	6.213858160139914e-10	6.21281396699184e-10	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_val__L_e	-1.1583927753222314	-1.1583926498609256	1.2546130578883208e-07	1.2548364036746307e-07	1.254634973690827e-07	True	True	1.302890707988566e-15
LE:K-562	ordinal	EX_xan_e	0.0	0.0	0.0	4.853753423383886e-10	4.830914279718712e-10	True	True	1.302890707988566e-15
LC:A549/ATCC	ordinal	EX_4abut_e	0.0	-0.0	0.0	1.6126480281162501e-09	1.6093828492103057e-09	True	True	7.992726214881669e-15
