context	arm	exchange_id	B0_low	B0_high	B1_low	B1_high	B2_low	B2_high	B0_width	B1_width	B2_width	B0_fixed	B1_fixed	B2_fixed	B0_to_B1_width_contraction	B1_to_B2_width_contraction	first_fixed_stage	B0_B1_nesting_violation	B1_B2_nesting_violation	saved_point_containment_violation
BR:HS 578T	ordinal	EX_4abut_e	0.0	179.01124760682066	0.0	1.476619720417415e-07	0.0	4.5998297464717746e-09	179.01124760682066	1.476619720417415e-07	4.5998297464717746e-09	False	True	True	179.01124745915868	1.4306214229526973e-07	first_fixed_B1	0.0	0.0	0.0
BR:HS 578T	ordinal	EX_L2aadp_e	0.0	10.926076398774978	0.0	7.462385849895005e-08	0.0	2.280783609431243e-09	10.926076398774978	7.462385849895005e-08	2.280783609431243e-09	False	True	True	10.926076324151119	7.23430748895188e-08	first_fixed_B1	0.0	0.0	0.0
BR:HS 578T	ordinal	EX_Lkynr_e	0.0	8.61390890897742	0.0	4.326172610147653e-08	0.0	1.2514927209618902e-09	8.61390890897742	4.326172610147653e-08	1.2514927209618902e-09	False	True	True	8.613908865715693	4.2010233380514644e-08	first_fixed_B1	0.0	0.0	0.0
BR:HS 578T	ordinal	EX_ala__L_e	0.0	161.4259027078193	13.052115346228534	13.052118435402614	13.052117250327735	13.052117377237153	161.4259027078193	3.0891740792071687e-06	1.2690941808557454e-07	False	True	True	161.42589961864522	2.962264661121594e-06	first_fixed_B1	0.0	0.0	0.0
BR:HS 578T	ordinal	EX_anth_e	0.0	8.613908908977418	0.0	3.854171947458618e-08	0.0	1.1134771371662038e-09	8.613908908977418	3.854171947458618e-08	1.1134771371662038e-09	False	True	True	8.613908870435699	3.742824233741998e-08	first_fixed_B1	0.0	0.0	0.0
BR:HS 578T	ordinal	EX_cala_e	0.0	16.576892935525144	0.0	1.9872942759254417e-08	0.0	5.976618612321e-10	16.576892935525144	1.9872942759254417e-08	5.976618612321e-10	False	True	True	16.576892915652202	1.9275280898022318e-08	first_fixed_B1	0.0	0.0	0.0
BR:HS 578T	ordinal	EX_chol_e	-10.0	5.802857235090938	-2.2595703418699506	-2.259569774088851	-2.2595698695340247	-2.259569852413932	15.802857235090938	5.677810994697552e-07	1.712009289889238e-08	False	True	True	15.80285666730984	5.506610065708628e-07	first_fixed_B1	0.0	0.0	0.0
BR:HS 578T	ordinal	EX_cholp_e	0.0	6.071678091942405	0.0	4.7032265781895606e-08	0.0	1.4165518429237935e-09	6.071678091942405	4.7032265781895606e-08	1.4165518429237935e-09	False	True	True	6.071678044910139	4.561571393897181e-08	first_fixed_B1	0.0	0.0	0.0
BR:HS 578T	ordinal	EX_cit_e	0.0	62.319508811365594	0.0	2.8729562960895086e-06	0.0	5.777076446134167e-08	62.319508811365594	2.8729562960895086e-06	5.777076446134167e-08	False	True	True	62.3195059384093	2.815185531628167e-06	first_fixed_B1	0.0	0.0	0.0
BR:HS 578T	ordinal	EX_cmp_e	0.0	0.0	0.0	0.0	0.0	3.426159189885681e-10	0.0	0.0	3.426159189885681e-10	True	True	True	0.0	-3.426159189885681e-10	already_fixed_B0	0.0	3.426159189885681e-10	0.0
BR:HS 578T	ordinal	EX_crn_e	-1.0	-3.3306690738754696e-16	-3.6402568281967973e-07	-7.882583474838611e-15	-1.1467634656260876e-08	7.283548454073023e-17	0.9999999999999997	3.6402567493709626e-07	1.146763472909636e-08	False	True	True	0.9999996359743247	3.525580402079999e-07	first_fixed_B1	0.0	7.955418959379341e-15	7.882583474838611e-15
BR:HS 578T	ordinal	EX_cytd_e	0.0	10.81101713186418	0.0	1.0743252172983571e-08	0.0	3.322419141604957e-10	10.81101713186418	1.0743252172983571e-08	3.322419141604957e-10	False	True	True	10.811017121120928	1.0411010258823076e-08	first_fixed_B1	0.0	0.0	0.0
BR:HS 578T	ordinal	EX_dhap_e	0.0	6.071678091942327	0.0	2.8307821259958098e-08	0.0	8.53276376552746e-10	6.071678091942327	2.8307821259958098e-08	8.53276376552746e-10	False	True	True	6.071678063634506	2.7454544883405353e-08	first_fixed_B1	0.0	0.0	0.0
BR:HS 578T	ordinal	EX_duri_e	0.0	10.811017131864169	0.0	1.0849488804272549e-08	0.0	3.3188769516360236e-10	10.811017131864169	1.0849488804272549e-08	3.3188769516360236e-10	False	True	True	10.81101712101468	1.0517601109108947e-08	first_fixed_B1	0.0	0.0	0.0
BR:HS 578T	ordinal	EX_fum_e	0.0	75.07460134290541	15.880758141829373	15.880763399002756	15.880759533163234	15.880759772798203	75.07460134290541	5.257173382844371e-06	2.396349696454081e-07	False	True	True	75.07459608573203	5.017538413198963e-06	first_fixed_B1	0.0	0.0	0.0
BR:HS 578T	ordinal	EX_glcur_e	0.0	18.283735368672726	0.0	4.5070567706107534e-08	0.0	1.300284692708606e-09	18.283735368672726	4.5070567706107534e-08	1.300284692708606e-09	False	True	True	18.28373532360216	4.377028301339893e-08	first_fixed_B1	0.0	0.0	0.0
BR:HS 578T	ordinal	EX_gln__L_e	-10.0	31.44223233881293	-10.0	-9.999999482510171	-10.0	-9.999999984254421	41.44223233881293	5.174898287663154e-07	1.5745579062809156e-08	False	True	True	41.4422318213231	5.017442497035063e-07	first_fixed_B1	0.0	0.0	0.0
BR:HS 578T	ordinal	EX_glu__L_e	-10.0	65.07460134290554	-10.0	-9.999999510290754	-10.0	-9.999999985183214	75.07460134290554	4.897092455991015e-07	1.4816786020332984e-08	False	True	True	75.07460085319629	4.7489245957876847e-07	first_fixed_B1	0.0	0.0	0.0
BR:HS 578T	ordinal	EX_gly_e	-10.0	136.67340860229442	-10.0	-9.999997307925742	-10.0	-9.99999992913957	146.67340860229442	2.6920742577374313e-06	7.08604304122673e-08	False	True	True	146.67340591022017	2.621213827325164e-06	first_fixed_B1	0.0	0.0	0.0
BR:HS 578T	ordinal	EX_glyald_e	0.0	58.40513229375357	0.0	5.959352074544581e-08	0.0	1.7988035103763587e-09	58.40513229375357	5.959352074544581e-08	1.7988035103763587e-09	False	True	True	58.40513223416005	5.779471723506945e-08	first_fixed_B1	0.0	0.0	0.0
BR:HS 578T	ordinal	EX_glyc3p_e	0.0	6.071678091942406	0.0	2.6904232021385377e-08	0.0	8.103291039583342e-10	6.071678091942406	2.6904232021385377e-08	8.103291039583342e-10	False	True	True	6.071678065038174	2.6093902917427044e-08	first_fixed_B1	0.0	0.0	0.0
BR:HS 578T	ordinal	EX_hom__L_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	True	True	True	0.0	0.0	already_fixed_B0	0.0	0.0	0.0
BR:HS 578T	ordinal	EX_hxan_e	0.0	9.75111349148557	0.0	8.694576303539412e-09	0.0	2.6633836304790585e-10	9.75111349148557	8.694576303539412e-09	2.6633836304790585e-10	False	True	True	9.751113482790995	8.428237940491506e-09	first_fixed_B1	0.0	0.0	0.0
BR:HS 578T	ordinal	EX_icit_e	0.0	62.31950881136539	0.0	6.112929000891471e-07	0.0	1.6518818483755206e-08	62.31950881136539	6.112929000891471e-07	1.6518818483755206e-08	False	True	True	62.31950820007249	5.947740816053919e-07	first_fixed_B1	0.0	0.0	0.0
BR:HS 578T	ordinal	EX_ins_e	0.0	7.422489374115851	0.0	6.323170409263567e-09	0.0	1.9157548745328837e-10	7.422489374115851	6.323170409263567e-09	1.9157548745328837e-10	False	True	True	7.42248936779268	6.1315949218102785e-09	first_fixed_B1	0.0	0.0	0.0
BR:HS 578T	ordinal	EX_lac__L_e	-1.0	108.03961591890892	17.02518356001074	17.02519018158494	17.025188256838696	17.02518892392332	109.03961591890892	6.621574200948999e-06	6.670846239842376e-07	False	True	True	109.03960929733472	5.954489576964761e-06	first_fixed_B1	0.0	0.0	0.0
BR:HS 578T	ordinal	EX_leu__L_e	-10.0	-1.7922337326704607	-1.792236634675949	-1.79223373266989	-1.7922338475861777	-1.7922337326704474	8.20776626732954	2.9020060590134733e-06	1.1491573026489732e-07	False	True	True	8.20776336532348	2.787090328748576e-06	first_fixed_B1	5.706546346573305e-13	0.0	1.3322676295501878e-14
BR:HS 578T	ordinal	EX_lys__L_e	-10.0	-1.9452265708841594	-1.9452481608868641	-1.9452265708841623	-1.945248160830801	-1.9452328852712095	8.05477342911584	2.1590002701854516e-05	1.5275559591465537e-05	False	False	False	8.05475183911314	6.314443110388979e-06	still_variable_B2	0.0	0.0	0.0
BR:HS 578T	ordinal	EX_mal__L_e	0.0	69.54957388179433	0.0	7.664124904356374e-07	0.0	2.181435604322622e-08	69.54957388179433	7.664124904356374e-07	2.181435604322622e-08	False	True	True	69.54957311538185	7.445981343924111e-07	first_fixed_B1	0.0	0.0	0.0
BR:HS 578T	ordinal	EX_met__L_e	-10.0	-0.5026982632120802	-7.239363741110949	-7.239344382378674	-7.239346146744189	-7.239344382380756	9.49730173678792	1.9358732274987744e-05	1.7643634322439539e-06	False	False	True	9.497282378055644	1.759436884274379e-05	first_fixed_B2	0.0	0.0	0.0
