context	arm	exchange_id	B0_low	B0_high	B1_low	B1_high	B2_low	B2_high	B0_width	B1_width	B2_width	B0_fixed	B1_fixed	B2_fixed	B0_to_B1_width_contraction	B1_to_B2_width_contraction	first_fixed_stage	B0_B1_nesting_violation	B1_B2_nesting_violation	saved_point_containment_violation
BR:BT-549	magnitude_g1.00	EX_4abut_e	0.0	207.45680124258473	0.0	1.504773309118761e-07	0.0	1.752297115720841e-08	207.45680124258473	1.504773309118761e-07	1.752297115720841e-08	False	True	True	207.4568010921074	1.329543597546677e-07	first_fixed_B1	0.0	0.0	0.0
BR:BT-549	magnitude_g1.00	EX_L2aadp_e	0.0	12.218190591912023	0.0	4.8322623050423406e-08	0.0	5.9129016976040505e-09	12.218190591912023	4.8322623050423406e-08	5.9129016976040505e-09	False	True	True	12.218190543589401	4.240972135281935e-08	first_fixed_B1	0.0	0.0	0.0
BR:BT-549	magnitude_g1.00	EX_Lkynr_e	0.0	9.89661606054301	0.0	1.4059700868671936e-07	0.0	1.567088327934166e-08	9.89661606054301	1.4059700868671936e-07	1.567088327934166e-08	False	True	True	9.896615919946003	1.249261254073777e-07	first_fixed_B1	0.0	0.0	0.0
BR:BT-549	magnitude_g1.00	EX_ala__L_e	0.0	183.6182626720431	8.185664989762687	8.185669640280604	8.185667633151102	8.185668142363076	183.6182626720431	4.6505179174261e-06	5.092119739202872e-07	False	True	True	183.61825802152518	4.141305943505813e-06	first_fixed_B1	0.0	0.0	0.0
BR:BT-549	magnitude_g1.00	EX_anth_e	0.0	9.89661606054301	0.0	1.054566762421275e-07	0.0	1.1752950429174222e-08	9.89661606054301	1.054566762421275e-07	1.1752950429174222e-08	False	True	True	9.896615955086334	9.370372581295328e-08	first_fixed_B1	0.0	0.0	0.0
BR:BT-549	magnitude_g1.00	EX_cala_e	0.0	20.0946518995797	0.0	1.3604549739101971e-08	0.0	1.6122613052963024e-09	20.0946518995797	1.3604549739101971e-08	1.6122613052963024e-09	False	True	True	20.09465188597515	1.1992288433805669e-08	first_fixed_B1	0.0	0.0	0.0
BR:BT-549	magnitude_g1.00	EX_chol_e	-10.0	10.465379991196198	-0.4148931823504607	-0.4148925564077151	-0.41489269404106466	-0.4148926334469749	20.465379991196198	6.259427455801436e-07	6.059408974579128e-08	False	True	True	20.46537936525345	5.653486558343523e-07	first_fixed_B1	0.0	0.0	0.0
BR:BT-549	magnitude_g1.00	EX_cholp_e	0.0	8.484265606634757	0.0	3.3489958287254956e-08	0.0	3.900069276125939e-09	8.484265606634757	3.3489958287254956e-08	3.900069276125939e-09	False	True	True	8.4842655731448	2.9589889011129017e-08	first_fixed_B1	0.0	0.0	0.0
BR:BT-549	magnitude_g1.00	EX_cit_e	0.0	71.7826252695857	0.0	9.284286355992314e-07	0.0	9.875756203375249e-08	71.7826252695857	9.284286355992314e-07	9.875756203375249e-08	False	True	True	71.78262434115706	8.29671073565479e-07	first_fixed_B1	0.0	0.0	0.0
BR:BT-549	magnitude_g1.00	EX_cmp_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	True	True	True	0.0	0.0	already_fixed_B0	0.0	0.0	0.0
BR:BT-549	magnitude_g1.00	EX_crn_e	-1.0	2.220446049250313e-16	-2.1131981153538543e-07	7.884580372502462e-15	-2.4299363343385226e-08	-3.9436238373196424e-15	1.0000000000000002	2.113198194199658e-07	2.4299359399761388e-08	False	True	True	0.9999997886801808	1.8702046002020443e-07	first_fixed_B1	7.66253576757743e-15	0.0	3.9436238373196424e-15
BR:BT-549	magnitude_g1.00	EX_cytd_e	0.0	17.448186397959358	0.0	8.387666471951372e-09	0.0	1.0005822667103466e-09	17.448186397959358	8.387666471951372e-09	1.0005822667103466e-09	False	True	True	17.448186389571692	7.387084205241026e-09	first_fixed_B1	0.0	0.0	0.0
BR:BT-549	magnitude_g1.00	EX_dhap_e	0.0	8.484265606634654	0.0	2.6395467384065063e-08	0.0	3.14273824672904e-09	8.484265606634654	2.6395467384065063e-08	3.14273824672904e-09	False	True	True	8.484265580239187	2.3252729137336022e-08	first_fixed_B1	0.0	0.0	0.0
BR:BT-549	magnitude_g1.00	EX_duri_e	0.0	17.448186397959343	0.0	8.518021718484386e-09	0.0	1.016745715358239e-09	17.448186397959343	8.518021718484386e-09	1.016745715358239e-09	False	True	True	17.44818638944132	7.501276003126146e-09	first_fixed_B1	0.0	0.0	0.0
BR:BT-549	magnitude_g1.00	EX_fum_e	0.0	123.26567046762307	0.0	3.0398176917642787e-06	0.0	2.6443486271570377e-07	123.26567046762307	3.0398176917642787e-06	2.6443486271570377e-07	False	True	True	123.26566742780538	2.775382829048575e-06	first_fixed_B1	0.0	0.0	0.0
BR:BT-549	magnitude_g1.00	EX_glcur_e	0.0	28.336217240676714	0.0	1.0345283518683285e-07	0.0	1.1479250991752939e-08	28.336217240676714	1.0345283518683285e-07	1.1479250991752939e-08	False	True	True	28.33621713722388	9.197358419507992e-08	first_fixed_B1	0.0	0.0	0.0
BR:BT-549	magnitude_g1.00	EX_gln__L_e	-10.0	56.88471452551042	-1.2167476678529443	-1.2167425474188072	-1.216747667879794	-1.2167425865650876	66.88471452551042	5.120434137140251e-06	5.081314706334439e-06	False	True	True	66.88470940507628	3.911943080581182e-08	first_fixed_B1	0.0	2.6849633627534786e-11	0.0
