model_gene_id	entrez_id	measured
1610_AT1	1610	True
10380_AT1	10380	True
686_AT1	686	True
1645_AT1	1645	True
2745_AT1	2745	True
1109_AT1	1109	True
8884_AT1	8884	True
80704_AT1	80704	True
51022_AT1	51022	True
51733_AT1	51733	True
51022_AT2	51022	True
7108_AT1	7108	True
6718_AT1	6718	True
8528_AT2	8528	True
6510_AT1	6510	True
50814_AT1	50814	True
3295_AT1	3295	True
8528_AT1	8528	True
6307_AT1	6307	True
6509_AT1	6509	True
1632_AT1	1632	True
56301_AT1	56301	True
492_AT1	492	True
10455_AT1	10455	True
490_AT1	490	True
6520_AT1	6520	True
1633_AT1	1633	True
211_AT1	211	True
493_AT1	493	True
1638_AT1	1638	True
6319_AT1	6319	True
9415_AT1	9415	True
491_AT1	491	True
23464_AT1	23464	True
3992_AT1	3992	False
212_AT1	212	True
8694_AT1	8694	True
211_AT2	211	True
847_AT1	847	True
84649_AT1	84649	False
1716_AT4	1716	True
6546_AT1	6546	True
6547_AT1	6547	False
1716_AT5	1716	True
6547_AT4	6547	False
6547_AT5	6547	False
54407_AT1	54407	True
1716_AT2	1716	True
1716_AT1	1716	True
6541_AT1	6541	True
6543_AT1	6543	True
1716_AT3	1716	True
6547_AT3	6547	False
6515_AT1	6515	True
6547_AT6	6547	False
6547_AT2	6547	False
166785_AT1	166785	False
59272_AT1	59272	True
84889_AT1	84889	False
6517_AT1	6517	True
81539_AT1	81539	True
340024_AT1	340024	False
6513_AT1	6513	True
55089_AT1	55089	True
1718_AT1	1718	True
2538_AT1	2538	True
1581_AT1	1581	True
57818_AT1	57818	True
92579_AT1	92579	True
1373_AT2	1373	True
1373_AT1	1373	True
873_AT1	873	True
11254_AT1	11254	True
57393_AT1	57393	False
6542_AT1	6542	True
84706_AT1	84706	False
1717_AT1	1717	True
2875_AT1	2875	True
8560_AT2	8560	True
10423_AT2	10423	True
123099_AT1	123099	False
10423_AT1	10423	True
92745_AT1	92745	False
8560_AT1	8560	True
10991_AT1	10991	True
1040_AT1	1040	True
11309_AT1	11309	True
8760_AT1	8760	True
284273_AT2	284273	False
284273_AT1	284273	False
6783_AT1	6783	True
1723_AT1	1723	True
10327_AT1	10327	True
10327_AT2	10327	True
10390_AT1	10390	True
56994_AT1	56994	True
1807_AT1	1807	True
64781_AT1	64781	True
1809_AT1	1809	True
64781_AT2	64781	True
8854_AT3	8854	True
1808_AT1	1808	True
10087_AT1	10087	True
23539_AT1	23539	True
6565_AT1	6565	True
9023_AT1	9023	True
224_AT1	224	True
501_AT1	501	True
2224_AT1	2224	True
8854_AT1	8854	True
1103_AT1	1103	True
29958_AT1	29958	False
1103_AT4	1103	True
8854_AT2	8854	True
60386_AT1	60386	False
223_AT1	223	True
216_AT1	216	True
1103_AT2	1103	True
1103_AT3	1103	True
162466_AT1	162466	False
84920_AT1	84920	False
5130_AT1	5130	True
9468_AT1	9468	True
6579_AT1	6579	True
217_AT1	217	True
219_AT1	219	True
79087_AT1	79087	True
239_AT1	239	True
6555_AT1	6555	True
6554_AT1	6554	True
26002_AT1	26002	True
8714_AT2	8714	True
8714_AT3	8714	True
1621_AT1	1621	True
8647_AT1	8647	True
247_AT1	247	True
7299_AT1	7299	True
55349_AT1	55349	False
6530_AT1	6530	True
246_AT1	246	True
6531_AT1	6531	True
6581_AT1	6581	True
240_AT1	240	True
