arm	exchange_id	B0_low	B0_high	B1_low	B1_high	B2_low	B2_high	B0_width	B1_width	B2_width	B0_fixed	B1_fixed	B2_fixed	first_fixed_stage	B0_B1_nesting_violation	B1_B2_nesting_violation	saved_point_containment_violation
uniform_pfba	EX_4abut_e	0.0	179.01124760682112	0.0	3.5463132344109053e-07	0.0	4.752468794789906e-08	179.01124760682112	3.5463132344109053e-07	4.752468794789906e-08	False	True	True	first_fixed_B1	0.0	0.0	0.0
uniform_pfba	EX_L2aadp_e	0.0	10.92607639877498	0.0	1.0793242154984051e-07	0.0	1.1560204214315075e-08	10.92607639877498	1.0793242154984051e-07	1.1560204214315075e-08	False	True	True	first_fixed_B1	0.0	0.0	0.0
uniform_pfba	EX_Lkynr_e	0.0	8.61390890897742	0.0	3.615774845335325e-08	0.0	3.439285648868728e-09	8.61390890897742	3.615774845335325e-08	3.439285648868728e-09	False	True	True	first_fixed_B1	0.0	0.0	0.0
uniform_pfba	EX_ala__L_e	0.0	161.42590270782023	0.07649682051416275	11.272492973400146	0.07649792562627393	11.272492973396952	161.42590270782023	11.195996152885984	11.195995047770678	False	False	False	still_variable_B2	0.0	0.0	0.0
uniform_pfba	EX_anth_e	0.0	8.613908908977407	0.0	3.325155649678069e-08	0.0	3.176385789379706e-09	8.613908908977407	3.325155649678069e-08	3.176385789379706e-09	False	True	True	first_fixed_B1	0.0	0.0	0.0
uniform_pfba	EX_cala_e	0.0	16.576892935525013	0.0	2.0237133420844634e-08	0.0	2.0630769095133733e-09	16.576892935525013	2.0237133420844634e-08	2.0630769095133733e-09	False	True	True	first_fixed_B1	0.0	0.0	0.0
uniform_pfba	EX_chol_e	-10.0	5.802857235091036	-2.259571509734107	-2.2595696065523416	-2.259569987867643	-2.2595698379725757	15.802857235091036	1.9031817655168481e-06	1.4989506746942993e-07	False	True	True	first_fixed_B1	0.0	0.0	0.0
uniform_pfba	EX_cholp_e	0.0	6.071678091942436	0.0	5.6418638000001946e-08	0.0	5.802484410847744e-09	6.071678091942436	5.6418638000001946e-08	5.802484410847744e-09	False	True	True	first_fixed_B1	0.0	0.0	0.0
uniform_pfba	EX_cit_e	0.0	62.319508811365665	0.0	6.206011200798159e-07	0.0	5.3464419063162035e-08	62.319508811365665	6.206011200798159e-07	5.3464419063162035e-08	False	True	True	first_fixed_B1	0.0	0.0	0.0
uniform_pfba	EX_cmp_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	True	True	True	already_fixed_B0	0.0	0.0	0.0
uniform_pfba	EX_crn_e	-1.0	6.661338147750939e-16	-1.2412005990633443e-06	-1.5340897806306724e-16	-1.496981036843674e-07	-4.828115956369508e-16	1.0000000000000007	1.2412005989099354e-06	1.496981032015558e-07	False	True	True	first_fixed_B1	0.0	0.0	4.828115956369508e-16
uniform_pfba	EX_cytd_e	0.0	10.811017131864224	0.0	1.2752016960016021e-08	0.0	1.299858836346737e-09	10.811017131864224	1.2752016960016021e-08	1.299858836346737e-09	False	True	True	first_fixed_B1	0.0	0.0	0.0
uniform_pfba	EX_dhap_e	0.0	6.071678091942525	0.0	4.0038903286676565e-08	0.0	4.06775884403188e-09	6.071678091942525	4.0038903286676565e-08	4.06775884403188e-09	False	True	True	first_fixed_B1	0.0	0.0	0.0
uniform_pfba	EX_duri_e	0.0	10.811017131864164	0.0	1.288437111555268e-08	0.0	1.3124423610186467e-09	10.811017131864164	1.288437111555268e-08	1.3124423610186467e-09	False	True	True	first_fixed_B1	0.0	0.0	0.0
uniform_pfba	EX_fum_e	0.0	75.07460134290349	10.131367051437545	15.850565329463729	15.793110974728371	15.850558093105297	75.07460134290349	5.719198278026184	0.05744711837692584	False	False	False	still_variable_B2	0.0	0.0	0.0
uniform_pfba	EX_glcur_e	0.0	18.283735368672975	0.0	3.669261642557233e-08	0.0	3.4194455275117443e-09	18.283735368672975	3.669261642557233e-08	3.4194455275117443e-09	False	True	True	first_fixed_B1	0.0	0.0	0.0
uniform_pfba	EX_gln__L_e	-10.0	31.44223233881349	-10.0	-9.99999751761567	-10.0	-9.999999823873107	41.44223233881349	2.4823843300936232e-06	1.761268926259163e-07	False	True	True	first_fixed_B1	0.0	0.0	0.0
uniform_pfba	EX_glu__L_e	-10.0	65.0746013429071	-10.0	-9.99999875880207	-10.0	-9.999999884844245	75.0746013429071	1.241197930212934e-06	1.1515575515375076e-07	False	True	True	first_fixed_B1	0.0	0.0	0.0
uniform_pfba	EX_gly_e	-10.0	136.67340860229515	-6.440750053059545	-6.440746950023681	-6.440750053049233	-6.440749625345093	146.67340860229515	3.103035863816217e-06	4.277041396605341e-07	False	True	True	first_fixed_B1	0.0	0.0	0.0
uniform_pfba	EX_glyald_e	0.0	58.4051322937533	0.0	1.0343445882290436e-07	0.0	1.032456758371645e-08	58.4051322937533	1.0343445882290436e-07	1.032456758371645e-08	False	True	True	first_fixed_B1	0.0	0.0	0.0
uniform_pfba	EX_glyc3p_e	0.0	6.071678091942356	0.0	4.003910482601211e-08	0.0	4.068049595797153e-09	6.071678091942356	4.003910482601211e-08	4.068049595797153e-09	False	True	True	first_fixed_B1	0.0	0.0	0.0
uniform_pfba	EX_hom__L_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	True	True	True	already_fixed_B0	0.0	0.0	0.0
uniform_pfba	EX_hxan_e	0.0	9.751113491485459	0.0	9.890032319333055e-09	0.0	1.0728172458890087e-09	9.751113491485459	9.890032319333055e-09	1.0728172458890087e-09	False	True	True	first_fixed_B1	0.0	0.0	0.0
uniform_pfba	EX_icit_e	0.0	62.31950881136552	0.0	1.241216039145132e-06	0.0	8.806734443171711e-08	62.31950881136552	1.241216039145132e-06	8.806734443171711e-08	False	True	True	first_fixed_B1	0.0	0.0	0.0
uniform_pfba	EX_ins_e	0.0	7.422489374115665	0.0	7.685540104507295e-09	0.0	8.107479631389977e-10	7.422489374115665	7.685540104507295e-09	8.107479631389977e-10	False	True	True	first_fixed_B1	0.0	0.0	0.0
uniform_pfba	EX_lac__L_e	-1.0	108.03961591890912	0.7999987587843185	11.525436784335533	0.7999998639064176	11.525433017105886	109.03961591890912	10.725438025551213	10.725433153199468	False	False	False	still_variable_B2	0.0	0.0	0.0
uniform_pfba	EX_leu__L_e	-10.0	-1.7922337326704483	-1.7922349738787666	-1.7922337326704056	-1.7922338478194886	-1.7922337326704514	8.207766267329552	1.2412083609802949e-06	1.1514903719422875e-07	False	True	True	first_fixed_B1	4.263256414560601e-14	0.0	1.1102230246251565e-15
uniform_pfba	EX_lys__L_e	-10.0	-1.9452265708841594	-1.9452278120786861	-1.9452265708843797	-1.9452267069727482	-1.945226570884162	8.05477342911584	1.2411943064449815e-06	1.3608858617786268e-07	False	True	True	first_fixed_B1	0.0	2.1760371282653068e-13	2.1760371282653068e-13
uniform_pfba	EX_mal__L_e	0.0	69.54957388179446	0.0	5.661745420296863	0.0	1.497015057387283e-06	69.54957388179446	5.661745420296863	1.497015057387283e-06	False	False	True	first_fixed_B2	0.0	0.0	0.0
uniform_pfba	EX_met__L_e	-10.0	-0.5026982632120784	-10.0	-4.338254579696001	-6.681083481894561	-4.338254579710705	9.497301736787922	5.661745420303999	2.3428289021838555	False	False	False	still_variable_B2	0.0	0.0	0.0
uniform_pfba	EX_nac_e	0.0	12.871302969659121	0.0	1.7731626900983794e-07	0.0	1.8481740395655677e-08	12.871302969659121	1.7731626900983794e-07	1.8481740395655677e-08	False	True	True	first_fixed_B1	0.0	0.0	3.4536114515388407e-15
uniform_pfba	EX_ncam_e	-10.0	0.0	-1.241195539063749e-06	-1.8915008925928948e-12	-1.1515563513599981e-07	3.793787345391011e-24	10.0	1.2411936475628566e-06	1.1515563513599981e-07	False	True	True	first_fixed_B1	0.0	1.8915008925966886e-12	1.8915008925928948e-12
uniform_pfba	EX_orn_e	0.0	75.0746013429061	0.0	2.4824070639496205e-06	0.0	5.988183449629001e-07	75.0746013429061	2.4824070639496205e-06	5.988183449629001e-07	False	True	True	first_fixed_B1	0.0	0.0	0.0
uniform_pfba	EX_orot_e	0.0	16.576892935525226	0.0	2.54171962084289e-08	0.0	2.57589361152226e-09	16.576892935525226	2.54171962084289e-08	2.57589361152226e-09	False	True	True	first_fixed_B1	0.0	0.0	0.0
uniform_pfba	EX_phe__L_e	-10.0	-0.8524036882104298	-0.8524049294064442	-0.8524036882104955	-0.852403803364913	-0.852403688210429	9.14759631178957	1.2411959486868795e-06	1.1515448394838756e-07	False	True	True	first_fixed_B1	0.0	6.650235917504688e-14	6.650235917504688e-14
uniform_pfba	EX_pro__L_e	-10.0	73.71949939148459	-1.3551031926225523	-1.3551015967912186	-1.3551020797416011	-1.3551019080282094	83.71949939148459	1.595831333744968e-06	1.7171339172783462e-07	False	True	True	first_fixed_B1	0.0	0.0	0.0
uniform_pfba	EX_sbt__D_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	True	True	True	already_fixed_B0	0.0	0.0	0.0
uniform_pfba	EX_ser__L_e	-10.0	57.234337439573	-10.0	-9.999999862087986	-10.0	-9.999999986634815	67.234337439573	1.37912014253061e-07	1.3365184514668726e-08	False	True	True	first_fixed_B1	0.0	0.0	0.0
uniform_pfba	EX_sprm_e	0.0	3.3387831585263967	0.0	5.255891243361655e-09	0.0	5.322474279481097e-10	3.3387831585263967	5.255891243361655e-09	5.322474279481097e-10	False	True	True	first_fixed_B1	0.0	0.0	0.0
uniform_pfba	EX_srtn_e	0.0	8.613908908977418	0.0	3.598329245626577e-08	0.0	3.3819590729066915e-09	8.613908908977418	3.598329245626577e-08	3.3819590729066915e-09	False	True	True	first_fixed_B1	0.0	0.0	0.0
uniform_pfba	EX_succ_e	0.0	115.44565627115206	15.014100081292927	15.07154797425092	15.014100081297165	15.071545791240357	115.44565627115206	0.057447892957993574	0.05744570994319176	False	False	False	still_variable_B2	0.0	0.0	0.0
uniform_pfba	EX_taur_e	0.0	16.909696464552507	0.0	3.1164690135349296e-08	0.0	2.962769557364256e-09	16.909696464552507	3.1164690135349296e-08	2.962769557364256e-09	False	True	True	first_fixed_B1	0.0	0.0	0.0
uniform_pfba	EX_tchola_e	0.0	1.442357719857035	0.0	6.4431702372979476e-09	0.0	1.0224011332397893e-09	1.442357719857035	6.4431702372979476e-09	1.0224011332397893e-09	False	True	True	first_fixed_B1	0.0	0.0	0.0
uniform_pfba	EX_thr__L_e	-10.0	-1.0272564007096072	-1.0272576419106159	-1.0272564007099554	-1.0272565158653206	-1.0272564007096077	8.972743599290393	1.241200660473396e-06	1.1515571296527582e-07	False	True	True	first_fixed_B1	0.0	3.4772185131259903e-13	3.47499806707674e-13
uniform_pfba	EX_thym_e	0.0	12.751456104250083	0.0	1.6050140874693003e-08	0.0	1.6275797647234034e-09	12.751456104250083	1.6050140874693003e-08	1.6275797647234034e-09	False	True	True	first_fixed_B1	0.0	0.0	0.0
uniform_pfba	EX_thymd_e	0.0	9.041941601195715	0.0	1.1049279853965707e-08	0.0	1.1200305530848329e-09	9.041941601195715	1.1049279853965707e-08	1.1200305530848329e-09	False	True	True	first_fixed_B1	0.0	0.0	0.0
uniform_pfba	EX_ump_e	0.0	6.071678091942417	0.0	8.256373014999755e-09	0.0	8.416148595688433e-10	6.071678091942417	8.256373014999755e-09	8.416148595688433e-10	False	True	True	first_fixed_B1	0.0	0.0	0.0
uniform_pfba	EX_ura_e	0.0	16.576892935525386	0.0	2.1649038260313295e-08	0.0	2.202408514865442e-09	16.576892935525386	2.1649038260313295e-08	2.202408514865442e-09	False	True	True	first_fixed_B1	0.0	0.0	0.0
uniform_pfba	EX_urate_e	0.0	9.751113491485452	0.0	9.511091066025893e-09	0.0	1.0386599645800774e-09	9.751113491485452	9.511091066025893e-09	1.0386599645800774e-09	False	True	True	first_fixed_B1	0.0	0.0	0.0
uniform_pfba	EX_uri_e	0.0	10.811017131864261	0.0	1.3298683827246031e-08	0.0	1.3503459776799462e-09	10.811017131864261	1.3298683827246031e-08	1.3503459776799462e-09	False	True	True	first_fixed_B1	0.0	0.0	0.0
uniform_pfba	EX_val__L_e	-10.0	-1.158392649860927	-1.1583938910641383	-1.1583926498612431	-1.1583927650148829	-1.158392649860925	8.841607350139073	1.2412028951303e-06	1.151539579247185e-07	False	True	True	first_fixed_B1	0.0	3.1818991885756986e-13	0.0
uniform_pfba	EX_xan_e	0.0	9.751113491485343	0.0	9.734997949927396e-09	0.0	1.0472075590403043e-09	9.751113491485343	9.734997949927396e-09	1.0472075590403043e-09	False	True	True	first_fixed_B1	0.0	0.0	0.0
