scenario	context	arm_a	arm_b	relative_l1_full_vector	relative_l1_panel_exchanges	reactions_differing	panel_exchanges_differing	max_abs_difference_full	max_abs_difference_panel
half_serum	CNS:SF-295	magnitude_g2.00	ordinal	0.5799999814443954	0.532261661306225	190	10	16.040033015990872	15.563544383639307
half_serum	CNS:SF-539	magnitude_g0.50	magnitude_g0.80	0.1802803175371724	0.12884860421191796	118	8	4.731257492208522	4.2007837106877
half_serum	CNS:SF-539	magnitude_g0.50	magnitude_g1.00	0.2059736394642842	0.12416252202001296	113	8	5.637034368288833	4.200783710687681
half_serum	CNS:SF-539	magnitude_g0.50	magnitude_g1.25	0.21417773624509603	0.08813256795144825	119	7	4.670536403520443	1.7670365987500207
half_serum	CNS:SF-539	magnitude_g0.50	magnitude_g2.00	0.21916086236207782	0.09003244803048073	141	8	4.7083176132219595	1.767036598750098
half_serum	CNS:SF-539	magnitude_g0.50	ordinal	0.5364692629611378	0.3174684675499318	164	8	12.187652320638211	8.646689366396252
half_serum	CNS:SF-539	magnitude_g0.80	magnitude_g1.00	0.06295513486171099	0.02304730511391744	69	4	2.3783034825740432	0.4968561160791989
half_serum	CNS:SF-539	magnitude_g0.80	magnitude_g1.25	0.14652662019069496	0.15190305487754793	82	5	4.446563358605995	2.8346957040988303
half_serum	CNS:SF-539	magnitude_g0.80	magnitude_g2.00	0.1452593652474829	0.15380326294079608	98	6	4.7083176132219595	2.834695704098843
half_serum	CNS:SF-539	magnitude_g0.80	ordinal	0.5345460779759494	0.3736902106326635	181	10	12.617658859240036	8.411937039001772
half_serum	CNS:SF-539	magnitude_g1.00	magnitude_g1.25	0.110234091561812	0.12929013440036444	75	5	4.470367549117209	2.58315329085477
half_serum	CNS:SF-539	magnitude_g1.00	magnitude_g2.00	0.12153769626084379	0.13120061890553286	97	6	5.661021948387798	2.5831532908548587
half_serum	CNS:SF-539	magnitude_g1.00	ordinal	0.5393219363112176	0.37748804941231356	185	10	12.209922304427216	8.819673593814612
