X0	batch	cell_type	date	experiment	group	mu	oxygen	treatment	virus
35219.82561272909	d	lf	2020-01-24	05-bay	nan	0.02896885317329312	21%	DMSO	None
24101.904568748272	d	lf	2020-01-29	05-bay	nan	0.023645597674461585	21%	DMSO	None
31629.124921068178	d	lf	2020-02-03	05-bay	nan	0.028168707126312396	21%	DMSO	None
25628.15134826197	d	lf	2020-02-08	05-bay	nan	0.0279057744906862	21%	DMSO	None
33398.49574736031	d	lf	2020-01-24	05-bay	nan	0.021639750535567607	21%	BAY	None
28260.40541000603	d	lf	2020-01-29	05-bay	nan	0.018894625627228094	21%	BAY	None
30662.428957227276	d	lf	2020-02-03	05-bay	nan	0.02307554353997611	21%	BAY	None
21492.234003909805	d	lf	2020-02-08	05-bay	nan	0.02418308533981742	21%	BAY	None
28845.14559132405	d	lf	2020-01-24	05-bay	nan	0.020142043409826952	0.5%	DMSO	None
18072.52963850136	d	lf	2020-01-29	05-bay	nan	0.01847434576486096	0.5%	DMSO	None
28290.567470645914	d	lf	2020-02-03	05-bay	nan	0.021025131567482026	0.5%	DMSO	None
21229.872261336157	d	lf	2020-02-08	05-bay	nan	0.019681858186352173	0.5%	DMSO	None
31373.079813233195	d	lf	2020-01-24	05-bay	nan	0.017198731715615485	0.5%	BAY	None
20291.731730542306	d	lf	2020-01-29	05-bay	nan	0.017040579606594844	0.5%	BAY	None
30744.887858883096	d	lf	2020-02-03	05-bay	nan	0.019073518980270723	0.5%	BAY	None
20760.134742477123	d	lf	2020-02-08	05-bay	nan	0.018450984429521894	0.5%	BAY	None
