context	arm	exchange_id	B0_low	B0_high	B1_low	B1_high	B2_low	B2_high	B0_width	B1_width	B2_width	B0_fixed	B1_fixed	B2_fixed	B0_to_B1_width_contraction	B1_to_B2_width_contraction	first_fixed_stage	B0_B1_nesting_violation	B1_B2_nesting_violation	saved_point_containment_violation
BR:BT-549	magnitude_g0.80	EX_4abut_e	0.0	179.01124760682112	0.0	2.5393401321788016e-07	0.0	1.1722341656313724e-08	179.01124760682112	2.5393401321788016e-07	1.1722341656313724e-08	False	True	True	179.0112473528871	2.4221167156156646e-07	first_fixed_B1	0.0	0.0	0.0
BR:BT-549	magnitude_g0.80	EX_L2aadp_e	0.0	10.92607639877498	0.0	9.250997751848682e-08	0.0	4.2559103252642306e-09	10.92607639877498	9.250997751848682e-08	4.2559103252642306e-09	False	True	True	10.926076306265001	8.82540671932226e-08	first_fixed_B1	0.0	0.0	0.0
BR:BT-549	magnitude_g0.80	EX_Lkynr_e	0.0	8.61390890897742	0.0	4.1660991976402366e-08	0.0	1.8468409170043805e-09	8.61390890897742	4.1660991976402366e-08	1.8468409170043805e-09	False	True	True	8.613908867316429	3.981415105939799e-08	first_fixed_B1	0.0	0.0	0.0
BR:BT-549	magnitude_g0.80	EX_ala__L_e	0.0	161.42590270782023	11.434637627218871	11.434648121930852	11.434645239772475	11.434645561220282	161.42590270782023	1.0494711981223759e-05	3.2144780703902143e-07	False	False	True	161.42589221310826	1.0173264174184737e-05	first_fixed_B2	0.0	0.0	0.0
BR:BT-549	magnitude_g0.80	EX_anth_e	0.0	8.613908908977407	0.0	3.6511528498849617e-08	0.0	1.6262506346144748e-09	8.613908908977407	3.6511528498849617e-08	1.6262506346144748e-09	False	True	True	8.61390887246588	3.4885277864235144e-08	first_fixed_B1	0.0	0.0	0.0
BR:BT-549	magnitude_g0.80	EX_cala_e	0.0	16.576892935525013	0.0	2.023910261046782e-08	0.0	9.60903654300957e-10	16.576892935525013	2.023910261046782e-08	9.60903654300957e-10	False	True	True	16.57689291528591	1.9278198956166865e-08	first_fixed_B1	0.0	0.0	0.0
BR:BT-549	magnitude_g0.80	EX_chol_e	-10.0	5.802857235091036	-2.2595707630986603	-2.259569757529879	-2.2595698943586338	-2.259569850356576	15.802857235091036	1.0055687811316716e-06	4.400205755317188e-08	False	True	True	15.802856229522256	9.615667235784997e-07	first_fixed_B1	0.0	0.0	0.0
BR:BT-549	magnitude_g0.80	EX_cholp_e	0.0	6.071678091942436	0.0	5.2210848673218565e-08	0.0	2.3465175201802344e-09	6.071678091942436	5.2210848673218565e-08	2.3465175201802344e-09	False	True	True	6.071678039731587	4.986433115303833e-08	first_fixed_B1	0.0	0.0	0.0
BR:BT-549	magnitude_g0.80	EX_cit_e	0.0	62.319508811365665	0.0	1.7326912481313517e-06	0.0	6.867003716351172e-08	62.319508811365665	1.7326912481313517e-06	6.867003716351172e-08	False	True	True	62.31950707867442	1.66402121096784e-06	first_fixed_B1	0.0	0.0	0.0
BR:BT-549	magnitude_g0.80	EX_cmp_e	0.0	0.0	0.0	0.0	0.0	5.591109325297717e-10	0.0	0.0	5.591109325297717e-10	True	True	True	0.0	-5.591109325297717e-10	already_fixed_B0	0.0	5.591109325297717e-10	0.0
BR:BT-549	magnitude_g0.80	EX_crn_e	-1.0	6.661338147750939e-16	-8.800568880208727e-07	6.900454571690093e-14	-4.686333713390994e-08	3.386749147721981e-15	1.0000000000000007	8.800569570254185e-07	4.6863340520659086e-08	False	True	True	0.9999991199430437	8.331936165047594e-07	first_fixed_B1	6.833841190212584e-14	0.0	0.0
BR:BT-549	magnitude_g0.80	EX_cytd_e	0.0	10.811017131864224	0.0	1.2059245877502325e-08	0.0	5.531369476007863e-10	10.811017131864224	1.2059245877502325e-08	5.531369476007863e-10	False	True	True	10.811017119804978	1.1506108929901539e-08	first_fixed_B1	0.0	0.0	0.0
BR:BT-549	magnitude_g0.80	EX_dhap_e	0.0	6.071678091942525	0.0	3.37744963648482e-08	0.0	1.5263502248612625e-09	6.071678091942525	3.37744963648482e-08	1.5263502248612625e-09	False	True	True	6.071678058168029	3.224814613998694e-08	first_fixed_B1	0.0	0.0	0.0
BR:BT-549	magnitude_g0.80	EX_duri_e	0.0	10.811017131864164	0.0	1.2189307021017537e-08	0.0	5.56457230809342e-10	10.811017131864164	1.2189307021017537e-08	5.56457230809342e-10	False	True	True	10.811017119674856	1.1632849790208196e-08	first_fixed_B1	0.0	0.0	0.0
BR:BT-549	magnitude_g0.80	EX_fum_e	0.0	75.07460134290349	15.883216367479879	15.883227930898215	15.883216367477036	15.883217120236177	75.07460134290349	1.1563418336635323e-05	7.52759140354442e-07	False	False	True	75.07458977948515	1.081065919628088e-05	first_fixed_B2	0.0	2.8421709430404007e-12	0.0
BR:BT-549	magnitude_g0.80	EX_glcur_e	0.0	18.283735368672975	0.0	3.883898038384961e-08	0.0	1.7421757228207937e-09	18.283735368672975	3.883898038384961e-08	1.7421757228207937e-09	False	True	True	18.283735329833995	3.7096804661028815e-08	first_fixed_B1	0.0	0.0	0.0
BR:BT-549	magnitude_g0.80	EX_gln__L_e	-10.0	31.44223233881349	-10.0	-9.99999875442766	-10.0	-9.999999947453489	41.44223233881349	1.2455723403803631e-06	5.2546511142281815e-08	False	True	True	41.44223109324115	1.1930258292380813e-06	first_fixed_B1	0.0	0.0	0.0
BR:BT-549	magnitude_g0.80	EX_glu__L_e	-10.0	65.0746013429071	-10.0	-9.999999365863808	-10.0	-9.999999970268151	75.0746013429071	6.341361924455668e-07	2.9731848982805786e-08	False	True	True	75.0746007087709	6.044043434627611e-07	first_fixed_B1	0.0	0.0	0.0
BR:BT-549	magnitude_g0.80	EX_gly_e	-10.0	136.67340860229515	-6.765061591253536	-6.765048663495819	-6.765056469853679	-6.765056013783218	146.67340860229515	1.2927757716774124e-05	4.560704613965072e-07	False	False	True	146.67339567453743	1.2471687255377617e-05	first_fixed_B2	0.0	0.0	0.0
BR:BT-549	magnitude_g0.80	EX_glyald_e	0.0	58.4051322937533	0.0	8.065619288708806e-08	0.0	3.655628209793605e-09	58.4051322937533	8.065619288708806e-08	3.655628209793605e-09	False	True	True	58.405132213097104	7.700056467729446e-08	first_fixed_B1	0.0	0.0	0.0
BR:BT-549	magnitude_g0.80	EX_glyc3p_e	0.0	6.071678091942356	0.0	3.289383075359404e-08	0.0	1.488500286349197e-09	6.071678091942356	3.289383075359404e-08	1.488500286349197e-09	False	True	True	6.0716780590485255	3.140533046724484e-08	first_fixed_B1	0.0	0.0	0.0
BR:BT-549	magnitude_g0.80	EX_hom__L_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	True	True	True	0.0	0.0	already_fixed_B0	0.0	0.0	0.0
BR:BT-549	magnitude_g0.80	EX_hxan_e	0.0	9.751113491485459	0.0	9.157178642695493e-09	0.0	4.878464411441474e-10	9.751113491485459	9.157178642695493e-09	4.878464411441474e-10	False	True	True	9.75111348232828	8.669332201551346e-09	first_fixed_B1	0.0	0.0	0.0
BR:BT-549	magnitude_g0.80	EX_icit_e	0.0	62.31950881136552	0.0	5.61244100573833e-07	0.0	2.6077393711457345e-08	62.31950881136552	5.61244100573833e-07	2.6077393711457345e-08	False	True	True	62.31950825012142	5.351667068623756e-07	first_fixed_B1	0.0	0.0	0.0
BR:BT-549	magnitude_g0.80	EX_ins_e	0.0	7.422489374115665	0.0	6.933593195847418e-09	0.0	3.1758265680430275e-10	7.422489374115665	6.933593195847418e-09	3.1758265680430275e-10	False	True	True	7.422489367182072	6.6160105390431155e-09	first_fixed_B1	0.0	0.0	0.0
BR:BT-549	magnitude_g0.80	EX_lac__L_e	-1.0	108.03961591890912	10.920241070084963	10.920258305453292	10.920246252906887	10.920247296661218	109.03961591890912	1.723536832898276e-05	1.04375433096493e-06	False	False	True	109.03959868354079	1.619161399801783e-05	first_fixed_B2	0.0	0.0	0.0
BR:BT-549	magnitude_g0.80	EX_leu__L_e	-10.0	-1.7922337326704483	-1.7922354990526568	-1.7922337326704412	-1.792233792862546	-1.7922337326704474	8.207766267329552	1.7663822156066544e-06	6.019209863872277e-08	False	True	True	8.207764500947336	1.7061901169679317e-06	first_fixed_B1	7.105427357601002e-15	0.0	1.1102230246251565e-15
